track_id,genre,track_title,best_p,best_d,best_q
67360,Pop,Fresh Flesh,2,0,3
127296,Pop,First Glance,1,0,3
48453,Pop,deux dents dehors,1,0,3
86118,Pop,ANWSATW (TSP Took Acid Once Mix),2,0,3
85427,Pop,Theme From Sun Moon,1,0,3
7528,Pop,Game,2,0,3
85599,Pop,Native Son,1,0,3
49477,Pop,U Fine (Remix) (Featuring CM aka Creative),2,0,3
79741,Pop,LAB CLINICIAN's DAY TRIP,3,0,3
17344,Pop,Falafel Western,1,0,3
113028,Pop,Convicted Jazz Drones,3,0,3
148612,Pop,Superferries,1,0,3
122499,Pop,"""Wheel of time""",2,0,3
127181,Pop,Sharks,3,0,3
39667,Pop,Your Troubles + Feelin Down,2,1,3
113025,Pop,Breeze Funk,3,0,3
57178,Pop,"NO (Midi #2: Camille/""Modern Music Mix"")",2,0,3
135338,Pop,The Coldest Winter,3,0,3
11199,Pop,Love Is An Eternal Lie,2,0,3
11200,Pop,Berlin Lights (Finistere),3,0,3
7529,Pop,Seeking,3,0,3
70873,Pop,goose woman,3,0,3
85953,Pop,All I Am,2,1,3
113020,Pop,Polinesia,3,0,3
148285,Pop,Soul Gem,2,0,3
127303,Pop,Snowday,3,0,3
21231,Pop,"Not Like That-Collaboration Mix (ft. Mindmovie, Peter (Paddy) Bussmeier)",1,0,3
54665,Pop,Floatin' Around,3,1,3
121593,Pop,Don't Go Falling In Love,3,0,3
92129,Pop,Go For It,3,0,3
16163,Pop,11:11,1,0,3
127915,Pop,Purple Sunshine,2,0,3
120208,Pop,Comfort Stand Records Remix Project : Song #2,3,0,3
127302,Pop,Roundtrip,2,1,3
127188,Pop,Basquiat,3,0,3
121591,Pop,Everybody Knows,1,0,3
132793,Pop,Mount Rainier,1,0,3
108457,Pop,Dear Pressure,2,0,3
84817,Pop,Wide Of The Mark,3,1,3
10806,Pop,Glowing Pavements,3,0,3
59451,Pop,Sister,3,0,3
11937,Pop,Wir können auch anders,3,1,2
144940,Pop,(next time you coalesce) Come Over,1,0,3
85422,Pop,Bicentennial Bridge,2,0,3
104780,Pop,Your Body Is A Temple,3,0,3
67363,Pop,Before The March,1,0,3
127183,Pop,Birds,1,0,3
56249,Pop,Woman Alone,3,0,3
127278,Pop,Distant Lover,1,1,3
57439,Pop,Patti's Town by Decade in Exile,1,1,3
32335,Pop,Legs on a Wine Glass,1,0,3
153956,Pop,Border Collie,3,0,3
61670,Pop,Japan Punk,1,0,3
109975,Pop,City Silk,3,0,3
149103,Pop,Explosions,2,0,3
109976,Pop,1/1/2013,2,0,3
121590,Pop,Why You Gotta Lie,1,0,3
27805,Pop,Both Eyes Closed (ft. Panu Moon),3,0,3
51268,Pop,In The Sun,2,0,3
45128,Pop,HHHHOTEL,3,0,3
122804,Pop,smelliest,3,0,3
30488,Pop,that face you wear,2,0,3
149102,Pop,Dreamer,3,1,3
124474,Pop,Funny Ways,3,0,3
62750,Pop,Roller-skate,1,0,3
12376,Pop,"Good Morning, Bubblegum",2,0,3
153383,Pop,La Samba (en public),3,0,3
41381,Pop,CREEPEOPLE,3,0,3
148289,Pop,Luka Fisher,1,0,3
67357,Pop,50 Gallon Drum,2,0,3
61736,Pop,Margaritaville,1,0,3
52039,Pop,Sea Woof,2,0,3
46842,Pop,I Can't Without You,3,0,3
132778,Pop,Stuff,1,0,3
67362,Pop,Compy,3,0,3
21401,Pop,Did The Red Sea Part?,3,0,3
47895,Pop,Malta,3,0,3
85426,Pop,Watch Her Fly,1,0,3
55289,Pop,H.E.A.T,3,1,3
132794,Pop,Youre so lonely,1,0,3
70878,Pop,otter people,1,0,3
148606,Pop,My Deviance,1,0,3
86119,Pop,And Now We Stand Against The Wall (Instrumental),3,0,3
29128,Pop,gymnosperm,2,0,3
55430,Pop,Groover,2,0,3
88428,Pop,"Hey, Predator Drone",1,0,3
67330,Pop,Rutherford,3,0,3
127204,Pop,Chop Chop,3,0,3
138041,Pop,Lydia,1,0,3
13197,Pop,Different Day,3,1,3
46839,Pop,"Get up, Do Your Thing",3,1,3
86116,Pop,And Now We Stand Against The Wall,3,0,3
57435,Pop,Way Beyond the Logic of Odds by Decade in Exile,1,1,3
64005,Pop,Giraffes,3,0,3
83509,Pop,When The Sea Called Me Home,2,0,3
52037,Pop,Alesser Whale,3,0,3
126400,Pop,Terminally in Love With You,3,0,3
37324,Pop,Synecek (Little Son),2,0,3
21587,Pop,Polka Of Wrath,2,0,3
94632,Pop,"Fêtes, rites et cérémonies : Ramadan Party",3,0,3
11722,Classical,"Beethoven - Piano Sonata nr.15 in D major op.28 ""Pastoral"" - IV. Rondo. Allegro ma non troppo",3,1,3
145207,Classical,2 - Andante,2,1,3
19333,Classical,Veloma,2,0,3
58754,Classical,BWV 538: Toccata and Fugue in D Minor - 1. Toccata,3,0,3
26469,Classical,Méditation from Thaïs,1,0,3
148650,Classical,Duplex iii,0,1,3
52737,Classical,"Language, as a music: II. Argument",2,1,3
65654,Classical,Variatio 28 a 2 Clav.,2,0,3
59053,Classical,"BWV 1114: Herr Jesu Christ, du höchstes Gut",2,0,3
120917,Classical,"L'elisir d'amore, Una furtiva lagrima (Donizetti)",1,0,3
55956,Classical,Winter Mvt 1 Allegro non molto,3,0,3
79911,Classical,Ravel - Menuet Sur Le Nom De Haydn,2,0,3
48387,Classical,O Fortuna,1,0,3
28119,Classical,"Alkan, 3me Suite, Op 31, 23 Assez vite",2,0,3
10026,Classical,"Sonata No. 1 in F Minor, Op. 2 No. 1 - I. Allegro",1,1,3
47770,Classical,"Vincent Persichetti Piano Sonata No. 9, Mvt. II",1,0,3
143142,Classical,Childhood Memories,3,0,3
70463,Classical,Vivaldi - Credo: Crucifixus,2,0,3
36470,Classical,Offertory - Terra Tremuit,3,0,3
66701,Classical,"DVORAK - Two Waltzes, Op. 54",3,0,3
65675,Classical,Variatio 7 a 1 ovvero 2 Clav.,3,0,3
18822,Classical,Improvisation,3,1,2
48400,Classical,In taberna quando sumus,1,0,3
11750,Classical,Vivaldo's Spring from the Four Seasons-Allegro,0,1,3
46642,Classical,Three Italian Songs (Caccini; Scarlatti; Tosti),1,0,3
113605,Classical,Black and White 12,3,0,3
48401,Classical,Amor volat undique,3,0,3
65781,Classical,If,1,0,3
82065,Classical,Prelude In D Minor,3,0,3
136087,Classical,Unknown theme,1,0,3
11431,Classical,"Sonata No. 13 in E Flat Major, Op. 27 No. 1 - III. Adagio con espressione",2,0,3
31242,Classical,"Bach, Cantata, BWV 29, Sinfonia, Siloti transcription",1,1,3
65678,Classical,Variatio 4 a 1 Clav.,2,0,3
17794,Classical,"Vaughan Williams: Selections from ""Songs of Travel""",3,1,3
28103,Classical,"Alkan, 1ere Suite, Op 31, 7 Librement mais sans secousses",3,1,3
66779,Classical,PORPORA - “Alto Giove” from Polifemo,1,0,3
31246,Classical,"Bach, Flute Sonata 2, BWV 1031, Siciliano, Siloti transcription",1,0,3
59056,Classical,BWV 1117: Alle Menschen müssen sterben,1,0,3
28120,Classical,"Alkan, 3me Suite, Op 31, 24 Etude de velocite, Prestissimo",2,1,3
41957,Classical,Messe à 3 voix (Antonio Lotti),3,1,3
140941,Classical,Seven,3,0,3
70934,Classical,Winter Sun,2,0,3
21530,Classical,Geese,2,0,3
59024,Classical,BWV 769a: Canonic Variations - 5. Canto fermo in canone,3,0,3
59061,Classical,"BWV deest (Emans 53): Der Tag, der ist so freudenreich / Ein Kindelein so löbelich",1,0,3
17781,Classical,Kreisler: Miniature Viennese March,2,0,3
48388,Classical,Fortune planto vulnera,1,1,3
79909,Classical,Ravel - Ma mere l'oye - 5: Le Jardin Feerique,3,0,3
55952,Classical,Summer Mvt 3 Presto,1,0,3
10037,Classical,III. Tuileries Allegretto non troppo capriccioso,3,0,3
41950,Classical,Ave Maria (Sylvain Zimmer),1,1,3
75894,Classical,Jellybeans,2,0,3
65792,Classical,Snowing,0,1,3
59585,Classical,Búsqueda exploratoria #009 - Pandora.mp3,2,0,3
148646,Classical,Machinamentum Interruptus,3,0,3
11419,Classical,"Sonata No. 07 in D Major, Op. 10 No. 3 - IV. Rondo Allegro",1,1,3
143137,Classical,Mars Landscape: Moon Set,3,0,3
37978,Classical,"De Falla, Ritual Fire Dance",1,0,3
58877,Classical,"BWV 552,1: Prelude in E-Flat Major",3,0,3
107514,Classical,Re,1,0,3
31236,Classical,"Bach, French Suite 4, BWV 815, 4 Gavotte",1,0,3
75917,Classical,Daikaiju RA-BI-TO,2,0,3
143143,Classical,fallen skies,3,0,3
11752,Classical,"Sonata in G Minor, ""Didone Abbandonata"" op.50 no.3 - II. Adagio dolente",0,1,3
149707,Classical,Camille Saint Saens - Carnaval des animaux - IV Tortues,2,0,3
91156,Classical,LOOK FOR THAT SILVER LINING/Jerome Kern,3,0,3
47771,Classical,Opening,2,1,3
41951,Classical,Cantate Domino (Johann Crüger),3,0,3
11397,Classical,"Sonata No. 05 in C Minor, Op. 10 No. 1 - II. Adagio molto",2,0,3
79902,Classical,"Ravel - Miroirs, III:  Une Barque Sur L'Océan",2,1,3
65669,Classical,Variatio 13 a 2 Clav.,3,1,3
65662,Classical,Variatio 20 a 2 Clav.,1,0,3
65664,Classical,Variatio 18 a 1 Clav. Canone alla Sexta,1,0,3
75897,Classical,Chasing Shadows,3,0,3
16985,Classical,"Debussy, Cloches a Travers les Feuilles",3,0,3
65653,Classical,Variatio 29 a 1 ovvero 2 Clav.,1,0,3
36461,Classical,Gloria in Excelsis Deo,2,0,3
149708,Classical,Camille Saint Saens - Carnaval des animaux - VII Aquarium,2,0,3
12922,Classical,Elegy upon the death of Thomas Farmer (H. Purcell),3,0,3
148643,Classical,Quadruplex i,2,1,3
23152,Classical,Boum,3,1,3
37977,Classical,"Holst, Uranus",0,1,3
145566,Classical,Galaxies Apart,1,0,3
23141,Classical,The black hole,1,0,3
120923,Classical,"The Pearl Fishers, Pearl Fishers' Duet (Bizet)",1,0,3
75914,Classical,All Ears,3,1,3
140946,Classical,Juncture,1,1,3
11418,Classical,"Sonata No. 07 in D Major, Op. 10 No. 3 - III. Menuetto Allegro",2,0,3
27946,Classical,(g) There's Trouble In Paradise,2,0,3
107511,Classical,De sal de linguagem feita,3,0,3
41954,Classical,Nocturnes (W.A. Mozart),3,0,3
125202,Classical,Remedy for Melancholy,3,0,3
59044,Classical,"BWV 1105: Jesu, meine Freude",3,0,3
58157,Classical,be'afar ha'mechakeh be'dumiyah,3,0,3
120913,Classical,"The Merry Wives of Windsor, Overture (Nicolai)",1,1,3
75716,Classical,Gnossienne 3,2,0,3
75704,Classical,Gymnopedie 1,2,0,3
34313,Classical,William Byrd - Civitas Sancti Tui,3,1,3
19332,Classical,"Lontana, dolcemente sospesa",1,0,3
48403,Classical,Stetit puella,3,0,3
